../.. #../.../..#
#./.. ###/##./.#.
##/.. ..#/..#/##.
.#/#. ###/.../#..
##/#. #../#.#/.#.
##/## ##./##./...
.../.../... .##./.##./#.##/#.##
#../.../... #.#./####/..#./#..#
.#./.../... #.../#..#/##.#/#.##
##./.../... .##./##../..##/....
#.#/.../... #.../..##/#.##/#...
###/.../... ##.#/.#../####/....
.#./#../... .###/#..#/####/...#
##./#../... ##.#/#.../..#./####
..#/#../... ####/###./..../#.#.
#.#/#../... ..##/.#../.#.#/...#
.##/#../... #.##/###./####/####
###/#../... #.#./##.#/..#./####
.../.#./... .##./#.../..../#...
#../.#./... ###./.##./...#/....
.#./.#./... .#../..#./###./....
##./.#./... .##./..../.###/...#
#.#/.#./... ###./.##./##.#/#.##
###/.#./... ##../..##/####/...#
.#./##./... ..#./#..#/##../.#..
##./##./... .#../...#/###./##..
..#/##./... .###/.###/####/...#
#.#/##./... ####/#.#./###./##..
.##/##./... ##../..#./###./..#.
###/##./... ##../..../.##./#.#.
.../#.#/... ..#./.#.#/.##./#.##
#../#.#/... ####/..##/#.../#.#.
.#./#.#/... #.../#..#/#.../..##
##./#.#/... .#.#/##.#/.###/#..#
#.#/#.#/... ..#./##.#/##../#..#
###/#.#/... ####/#..#/.##./###.
.../###/... .##./..##/..#./#...
#../###/... .##./###./##../.###
.#./###/... ##../..../..##/##..
##./###/... ##.#/#.#./#.#./##..
#.#/###/... ..##/.#.#/..../.#.#
###/###/... ####/.#../...#/.#..
..#/.../#.. .#.#/#..#/##../##.#
#.#/.../#.. ...#/.#.#/##.#/###.
.##/.../#.. ..##/##../#.../#.##
###/.../#.. ..##/##../#.#./##..
.##/#../#.. #.##/####/##../####
###/#../#.. ##../#..#/#.##/####
..#/.#./#.. #.#./#.##/...#/..#.
#.#/.#./#.. ..../...#/..../#.#.
.##/.#./#.. ...#/#..#/.#../##.#
###/.#./#.. .#../..#./.#../.#..
.##/##./#.. #.##/..../#.##/.#..
###/##./#.. #.../##../#.#./#.##
#../..#/#.. #.../..##/#.#./.#..
.#./..#/#.. ##../#.../#..#/##.#
##./..#/#.. ###./#..#/..##/....
#.#/..#/#.. ...#/##.#/#.../####
.##/..#/#.. .##./###./#.../#..#
###/..#/#.. #.#./.#.#/.#.#/...#
#../#.#/#.. ##.#/####/#.##/##.#
.#./#.#/#.. ...#/.#.#/.#../.##.
##./#.#/#.. ##.#/.##./#.##/####
..#/#.#/#.. ##../.#../##.#/#.#.
#.#/#.#/#.. ..#./###./#..#/.#.#
.##/#.#/#.. ..../.##./..#./##.#
###/#.#/#.. #.#./.#../###./##..
#../.##/#.. ##.#/##.#/.#.#/#.##
.#./.##/#.. ###./.##./..../####
##./.##/#.. ####/#..#/##../###.
#.#/.##/#.. ####/..#./#..#/.#.#
.##/.##/#.. ##../##.#/#.##/.##.
###/.##/#.. ..../..#./####/##.#
#../###/#.. ####/.#.#/#..#/#...
.#./###/#.. #.#./#.#./.#../#...
##./###/#.. ..../#.#./.##./##..
..#/###/#.. ##.#/...#/.#../#.#.
#.#/###/#.. ####/.##./..##/..#.
.##/###/#.. .###/..#./..#./##.#
###/###/#.. ##../..##/.###/.##.
.#./#.#/.#. ...#/##../.#.#/##.#
##./#.#/.#. ##../##../..##/##..
#.#/#.#/.#. .##./###./#.##/.##.
###/#.#/.#. .#.#/.#../.#.#/.##.
.#./###/.#. #.##/####/#..#/....
##./###/.#. #.../#.#./#.../#.##
#.#/###/.#. ###./#.#./##../#...
###/###/.#. ..##/.#.#/###./#..#
#.#/..#/##. #.../#.#./..##/#...
###/..#/##. #.../##.#/#.#./.###
.##/#.#/##. ###./#.../..##/...#
###/#.#/##. ...#/.###/#.##/.#..
#.#/.##/##. .###/..#./#..#/....
###/.##/##. ..../##.#/#..#/##.#
.##/###/##. #.#./..##/.##./##.#
###/###/##. ..../#..#/..../...#
#.#/.../#.# .###/#.../.##./....
###/.../#.# .#../.#../.#../#...
###/#../#.# ..../##.#/##../##..
#.#/.#./#.# ..##/#.#./##../#...
###/.#./#.# ##../..../#.../#..#
###/##./#.# #.../.##./.###/..##
#.#/#.#/#.# #.../..##/#.#./##.#
###/#.#/#.# ...#/#.##/#.##/#...
#.#/###/#.# ##.#/###./#..#/..##
###/###/#.# ..##/####/.##./..#.
###/#.#/### #.##/..../..../#.#.
###/###/### ###./..##/.#.#/....
